reward,adversarial,accuracy,stake
2407,0,0.8,100
2978,0,0.8,100
2391,0,0.8,100
2690,0,0.8,100
3793,0,0.8,100
3029,0,0.8,100
4499,0,0.8,100
3843,0,0.8,100
2029,0,0.8,100
3127,0,0.8,100
3281,0,0.8,100
3400,0,0.8,100
1685,0,0.8,100
2731,0,0.8,100
3204,0,0.8,100
-4327,1,0.8,100
-4431,1,0.8,100
-3820,1,0.8,100
-5058,1,0.8,100
-3566,1,0.8,100
2782,0,0.8,100
3133,0,0.8,100
3049,0,0.8,100
2646,0,0.8,100
3775,0,0.8,100
3274,0,0.8,100
1838,0,0.8,100
2753,0,0.8,100
1851,0,0.8,100
2707,0,0.8,100
2730,0,0.8,100
3421,0,0.8,100
2891,0,0.8,100
3521,0,0.8,100
2819,0,0.8,100
-3210,1,0.8,100
-2760,1,0.8,100
-3045,1,0.8,100
-4759,1,0.8,100
-5394,1,0.8,100
6062,0,0.95,100
5599,0,0.95,100
6078,0,0.95,100
5820,0,0.95,100
5413,0,0.95,100
5937,0,0.95,100
5797,0,0.95,100
5115,0,0.95,100
5577,0,0.95,100
5205,0,0.95,100
6324,0,0.95,100
5518,0,0.95,100
5700,0,0.95,100
5469,0,0.95,100
6159,0,0.95,100
-9144,1,0.95,100
-7796,1,0.95,100
-8360,1,0.95,100
-8944,1,0.95,100
-8953,1,0.95,100
