voters,propositions,accuracy,adv_control,prop_corrupted,target_corrupted,elapsed_time,alfa,beta
20,100,0.8,0,0,0,4131.85,70,30
20,100,0.8,0.25,2,0,2886.78,70,30
20,100,0.95,0.05,0,0,2721.62,70,30
20,100,0.8,0,0,0,2531.32,70,30
20,100,0.95,0.25,0,0,3123.54,70,30
20,100,0.8,0.05,0,0,2445.11,70,30
20,100,0.95,0,0,0,2983.42,70,30
20,100,0.8,0.05,1,0,4779.83,70,30
20,100,0.95,0.05,0,0,2769.19,70,30
20,100,0.8,0.25,2,0,3267.22,70,30
20,100,0.95,0.25,0,0,4426.4,70,30
20,100,0.8,0.05,0,0,2722.55,70,30
20,100,0.95,0.05,0,0,2716.27,70,30
20,100,0.8,0.25,2,0,2535.45,70,30
20,100,0.95,0.25,0,0,2317.2,70,30
20,100,0.8,0.05,0,0,2499.88,70,30
20,100,0.95,0.05,0,0,2382.02,70,30
20,100,0.8,0.25,3,0,2577.88,70,30
20,100,0.95,0.25,0,0,2652.11,70,30
20,100,0.8,0.05,0,0,2388.16,70,30
20,100,0.95,0.05,0,0,2472.66,70,30
20,100,0.8,0.25,3,0,2534.61,70,30
20,100,0.95,0.25,0,0,2222.37,70,30
20,100,0.8,0.05,0,0,2413.76,70,30
20,100,0.95,0.05,0,0,2301.77,70,30
20,100,0.8,0.25,0,0,2288.22,70,30
20,100,0.95,0.25,0,0,2324.75,70,30
20,100,0.8,0.05,1,0,2975.63,70,30
20,100,0.95,0.05,0,0,2578.29,70,30
20,100,0.8,0.25,2,0,2371.28,70,30
20,100,0.95,0.25,0,0,2329.62,70,30
20,100,0.8,0.05,0,0,2578.68,70,30
20,100,0.95,0.05,0,0,2426.61,70,30
20,100,0.8,0.25,3,0,2372.08,70,30
20,100,0.95,0.25,0,0,2764.13,70,30
20,100,0.8,0.05,0,0,2718.48,70,30
20,100,0.95,0.05,0,0,2416.79,70,30
20,100,0.8,0.25,4,0,2383.58,70,30
20,100,0.95,0.25,0,0,2360.44,70,30
20,100,0.8,0.05,0,0,2979.56,70,30
20,100,0.95,0.05,0,0,2789.92,70,30
20,100,0.8,0.25,3,0,2644.7,70,30
20,100,0.95,0.25,0,0,2688.78,70,30
20,100,0.8,0.05,1,0,2442.22,70,30
20,100,0.95,0.05,0,0,2454.18,70,30
20,100,0.8,0.25,1,0,2732.06,70,30
20,100,0.95,0.25,0,0,2708.37,70,30
20,100,0.8,0.05,0,0,2647.1,70,30
20,100,0.95,0.05,0,0,2349.66,70,30
20,100,0.8,0.25,4,0,2211.8,70,30
20,100,0.95,0.25,0,0,2831.75,70,30
20,100,0.8,0.05,1,0,2464.92,70,30
20,100,0.95,0.05,0,0,2738.35,70,30
20,100,0.8,0.25,2,0,2820.43,70,30
20,100,0.95,0.25,0,0,3045.65,70,30
20,100,0.8,0.05,0,0,2630.01,70,30
20,100,0.95,0.05,0,0,2380.18,70,30
20,100,0.8,0.25,1,0,2377.68,70,30
20,100,0.95,0.25,0,0,2574.83,70,30
20,100,0.8,0.05,0,0,2464.67,70,30
20,100,0.95,0.05,0,0,2358.69,70,30
20,100,0.8,0.25,1,0,2729.62,70,30
20,100,0.95,0.25,0,0,2460.58,70,30
20,100,0.8,0.05,0,0,2276.96,70,30
20,100,0.95,0.05,0,0,2559.64,70,30
20,100,0.8,0.25,1,0,2758.39,70,30
20,100,0.95,0.25,0,0,2902.58,70,30
20,100,0.8,0.05,0,0,2933.55,70,30
20,100,0.95,0.05,0,0,2565.96,70,30
20,100,0.8,0.25,0,0,3036.64,70,30
20,100,0.95,0.25,0,0,3550.88,70,30
20,100,0.8,0.05,0,0,2464.05,70,30
20,100,0.95,0.05,0,0,2369.43,70,30
20,100,0.8,0.25,1,0,2550.05,70,30
20,100,0.95,0.25,0,0,2847.15,70,30
20,100,0.8,0.05,0,0,2914.36,70,30
20,100,0.95,0.05,0,0,2731.1,70,30
20,100,0.8,0.25,4,0,2809.68,70,30
20,100,0.95,0.25,0,0,2870.62,70,30
20,100,0.8,0.05,0,0,2718.09,70,30
20,100,0.95,0.05,0,0,2569.64,70,30
20,100,0.8,0.25,3,0,2722.41,70,30
20,100,0.95,0.25,0,0,2723.82,70,30
20,100,0.8,0.05,0,0,2721.07,70,30
20,100,0.95,0.05,0,0,3023.62,70,30
20,100,0.8,0.25,4,0,2532.99,70,30
20,100,0.95,0.25,0,0,2743.63,70,30
20,100,0.8,0.05,1,0,2747.61,70,30
20,100,0.95,0.05,0,0,2892.56,70,30
20,100,0.8,0.25,1,0,2759.91,70,30
20,100,0.95,0.25,0,0,2863.68,70,30
20,100,0.8,0.05,2,0,3526.33,70,30
20,100,0.95,0.05,0,0,3552.2,70,30
20,100,0.8,0.25,2,0,2822.62,70,30
20,100,0.8,0.0,0,0,2679.11,70,30
20,100,0.95,0.0,0,0,2645.4,70,30
20,100,0.8,0.0,0,0,2935.13,70,30
20,100,0.95,0.0,0,0,2902.86,70,30
20,100,0.8,0.0,0,0,3715.35,70,30
20,100,0.95,0.0,0,0,3077.31,70,30
20,100,0.8,0.0,0,0,2699.04,70,30
20,100,0.95,0.0,0,0,2703.84,70,30
20,100,0.8,0.0,0,0,2579.89,70,30
20,100,0.95,0.0,0,0,2650.18,70,30
20,100,0.8,0.0,0,0,3197.71,70,30
20,100,0.95,0.0,0,0,2763.97,70,30
20,100,0.8,0.0,1,0,2785.68,70,30
20,100,0.95,0.0,0,0,3162.24,70,30
20,100,0.8,0.0,0,0,3195.58,70,30
20,100,0.95,0.0,0,0,2565.64,70,30
20,100,0.8,0.0,0,0,3074.88,70,30
20,100,0.95,0.0,0,0,3755.38,70,30
20,100,0.8,0.0,0,0,3699.24,70,30
20,100,0.95,0.0,0,0,3219.32,70,30
20,100,0.8,0.0,0,0,3429.81,70,30
20,100,0.95,0.0,0,0,3537.29,70,30
20,100,0.8,0.0,0,0,3337.45,70,30
20,100,0.95,0.0,0,0,2622.18,70,30
20,100,0.8,0.0,0,0,2631.66,70,30
20,100,0.95,0.0,0,0,2602.85,70,30
20,100,0.8,0.0,1,0,2989.6,70,30
20,100,0.95,0.0,0,0,2463.69,70,30
20,100,0.8,0.0,0,0,2540.38,70,30
20,100,0.95,0.0,0,0,2692.83,70,30
20,100,0.8,0.0,0,0,2932.13,70,30
20,100,0.95,0.0,0,0,2494.8,70,30
20,100,0.8,0.0,1,0,2731.17,70,30
20,100,0.95,0.0,0,0,2442.89,70,30
20,100,0.8,0.0,0,0,2856.25,70,30
20,100,0.95,0.0,0,0,2973.5,70,30
20,100,0.8,0.0,0,0,2738.75,70,30
20,100,0.95,0.0,0,0,2721.68,70,30
20,100,0.8,0.0,0,0,2575.95,70,30
20,100,0.95,0.0,0,0,2816.82,70,30
20,100,0.8,0.35,9,0,3631.31,70,30
20,100,0.8,0.35,3,0,2873.39,70,30
20,100,0.8,0.35,2,0,3213.82,70,30
20,100,0.8,0.35,10,0,3424.69,70,30
20,100,0.8,0.35,3,0,3446.54,70,30
20,100,0.8,0.35,2,0,2345.19,70,30
20,100,0.8,0.35,4,0,2486.9,70,30
20,100,0.8,0.35,6,0,2741.88,70,30
20,100,0.8,0.35,4,0,2776.66,70,30
20,100,0.8,0.35,13,0,4990.36,70,30
20,100,0.8,0.35,3,0,4781.17,70,30
20,100,0.8,0.35,7,0,2919.34,70,30
20,100,0.8,0.35,7,0,2469.85,70,30
20,100,0.8,0.35,6,0,2812.07,70,30
20,100,0.8,0.35,1,0,3296.11,70,30
20,100,0.8,0.35,7,1,2607.48,70,30
20,100,0.8,0.35,8,0,2920.71,70,30
20,100,0.8,0.35,9,1,2919.49,70,30
20,100,0.8,0.35,5,0,2576.46,70,30
20,100,0.8,0.35,2,0,2322.93,70,30
20,100,0.8,0.35,3,0,2602.88,70,30
20,100,0.8,0.35,4,0,2218.44,70,30
20,100,0.8,0.35,5,0,2680.22,70,30
20,100,0.8,0.35,7,0,3296.52,70,30
20,100,0.8,0.35,2,0,2740.58,70,30
20,100,0.95,0.35,0,0,4774.01,70,30
20,100,0.95,0.35,0,0,4253.36,70,30
20,100,0.95,0.35,0,0,3630.04,70,30
20,100,0.95,0.35,1,0,3670.52,70,30
20,100,0.95,0.35,0,0,3478.49,70,30
20,100,0.95,0.35,0,0,3741.68,70,30
20,100,0.95,0.35,0,0,3578.13,70,30
20,100,0.95,0.35,0,0,3286.1,70,30
20,100,0.95,0.35,0,0,3769.66,70,30
20,100,0.95,0.35,0,0,3857.99,70,30
20,100,0.95,0.35,0,0,3331.47,70,30
20,100,0.95,0.35,0,0,3484.03,70,30
20,100,0.95,0.35,0,0,3434.08,70,30
20,100,0.95,0.35,0,0,2910.33,70,30
20,100,0.95,0.35,0,0,2551.74,70,30
20,100,0.95,0.35,0,0,2958.59,70,30
20,100,0.95,0.35,1,0,3440.95,70,30
20,100,0.95,0.35,0,0,3914.74,70,30
20,100,0.95,0.35,1,0,3198.9,70,30
20,100,0.95,0.35,0,0,2683.88,70,30
20,100,0.8,0.45,8,0,3230.15,70,30
20,100,0.8,0.45,99,1,3705.05,70,30
20,100,0.8,0.45,84,1,3624.55,70,30
20,100,0.8,0.45,8,0,3365.01,70,30
20,100,0.8,0.45,97,1,2919.85,70,30
20,100,0.8,0.45,99,1,2940.31,70,30
20,100,0.8,0.45,26,0,3188.08,70,30
20,100,0.8,0.45,75,1,3181.43,70,30
20,100,0.8,0.45,90,1,3218.77,70,30
20,100,0.8,0.45,94,1,3462.46,70,30
20,100,0.8,0.45,10,0,3373.44,70,30
20,100,0.8,0.45,99,1,3382.22,70,30
20,100,0.8,0.45,91,1,3092.62,70,30
20,100,0.8,0.45,90,1,3173.96,70,30
20,100,0.8,0.45,93,1,3435.52,70,30
20,100,0.8,0.45,90,1,3360.29,70,30
20,100,0.8,0.45,92,1,3437.57,70,30
20,100,0.8,0.45,13,1,2646.34,70,30
20,100,0.8,0.45,96,1,2769.23,70,30
20,100,0.8,0.45,17,0,2408.15,70,30
20,100,0.95,0.45,0,0,2867.36,70,30
20,100,0.95,0.45,2,0,3221.53,70,30
20,100,0.95,0.45,0,0,2690.27,70,30
20,100,0.95,0.45,2,0,2762.47,70,30
20,100,0.95,0.45,2,0,2376.62,70,30
20,100,0.95,0.45,0,0,2638.67,70,30
20,100,0.95,0.45,0,0,3066.75,70,30
20,100,0.95,0.45,0,0,2309.99,70,30
20,100,0.95,0.45,3,0,2703.77,70,30
20,100,0.95,0.45,1,0,3120.0,70,30
20,100,0.95,0.45,0,0,2841.21,70,30
20,100,0.95,0.45,1,0,3174.75,70,30
20,100,0.95,0.45,2,0,3140.57,70,30
20,100,0.95,0.45,3,1,3291.25,70,30
20,100,0.95,0.45,0,0,2749.21,70,30
20,100,0.95,0.45,0,0,2365.1,70,30
20,100,0.95,0.45,2,0,2718.82,70,30
20,100,0.95,0.45,2,0,2417.47,70,30
20,100,0.95,0.45,2,0,2729.52,70,30
20,100,0.95,0.45,1,0,3107.75,70,30
