voters,propositions,accuracy,adv_control,prop_corrupted,target_corrupted,elapsed_time,alfa,beta
------ASTRAEA LIKE TESTS (Reputation 1 constant)--------
20,100,0.8,0,0,0,2445.97,70,30
20,100,0.95,0.05,0,0,2308.0,70,30
20,100,0.8,0.25,10,0,2500.85,70,30
20,100,0.95,0,0,0,2655.34,70,30
20,100,0.8,0.05,0,0,2458.29,70,30
20,100,0.95,0.25,3,0,2743.14,70,30
------WITH REPUTATION MECHANISM ACTIVE TESTS---------
20,100,0.8,0,0,0,4131.85,70,30
20,100,0.8,0.25,2,0,2886.78,70,30
20,100,0.95,0.05,0,0,2721.62,70,30
20,100,0.8,0,0,0,2531.32,70,30
20,100,0.95,0.25,0,0,3123.54,70,30
20,100,0.8,0.05,0,0,2445.11,70,30
20,100,0.95,0,0,0,2983.42,70,30
